ec2_instance_type,ec2_instance_count,ec2_hours,ec2_pricing_model,codebuild_minutes,pipeline_count,s3_storage_gb,ecr_storage_gb,rds_instance_type,rds_hours,rds_storage_gb,data_transfer_out_gb,cloudwatch_logs_gb,region,environment,monthly_cost_usd
t3.large,1,360,spot,1810,4,173,52,db.t3.medium,720,271,199,39,us-east-1,stage,115.86
t3.micro,4,360,spot,1668,1,11,50,db.m5.large,720,209,160,33,eu-west-1,stage,188.72
t3.micro,1,720,on_demand,912,1,199,86,db.t3.medium,720,27,190,4,eu-west-1,prod,92.56
t3.medium,2,360,reserved,2238,2,197,33,db.t3.micro,720,272,24,4,us-west-2,prod,54.89
m5.large,4,360,reserved,1052,3,37,87,db.m5.large,720,116,173,34,eu-west-1,prod,275.48
t3.medium,2,720,on_demand,261,3,156,65,db.t3.micro,720,79,49,4,eu-west-1,stage,89.95
t3.medium,1,720,on_demand,2095,2,148,12,db.t3.micro,720,249,197,38,us-west-2,stage,94.0
m5.large,1,720,on_demand,1256,5,60,19,db.m5.large,720,141,37,1,us-east-1,stage,220.75
t3.large,4,720,spot,1762,4,110,73,db.m5.large,720,267,198,30,us-west-2,prod,285.55
t3.micro,4,360,spot,405,3,188,34,db.t3.micro,720,114,5,18,eu-west-1,stage,37.43
m5.large,3,720,reserved,1240,1,48,16,db.m5.large,720,54,129,4,us-east-1,dev,295.54
c5.large,5,720,spot,1275,4,68,92,db.m5.large,720,117,112,38,us-east-1,stage,306.86
t3.small,6,720,spot,356,3,84,49,db.m5.large,720,154,63,14,us-west-2,dev,195.46
t3.medium,3,360,reserved,516,3,106,94,db.t3.micro,720,31,169,49,eu-west-1,dev,95.57
t3.medium,2,720,reserved,1538,2,62,78,db.t3.medium,720,46,161,29,us-west-2,prod,133.08
t3.micro,1,720,reserved,512,5,128,46,db.t3.medium,720,252,119,13,us-west-2,prod,80.42
m5.xlarge,2,720,reserved,2257,2,23,38,db.m5.large,720,37,149,20,us-west-2,dev,356.98
m5.large,4,720,on_demand,1261,2,169,86,db.t3.micro,720,248,82,9,us-east-1,dev,319.39
t3.micro,2,720,spot,2417,4,71,21,db.t3.micro,720,232,193,34,us-west-2,dev,68.42
m5.large,4,720,on_demand,969,1,177,79,db.t3.micro,720,61,200,49,eu-west-1,prod,348.04
t3.medium,5,720,spot,2348,5,13,20,db.m5.large,720,190,30,5,eu-west-1,prod,217.38
t3.medium,3,360,on_demand,1432,4,104,95,db.t3.medium,720,283,42,44,us-west-2,dev,138.0
c5.xlarge,4,720,on_demand,2143,2,75,30,db.t3.micro,720,168,56,42,us-west-2,prod,543.32
t3.small,3,720,on_demand,321,1,106,54,db.m5.large,720,160,163,46,us-east-1,dev,230.28
t3.medium,3,360,spot,1239,1,15,100,db.m5.large,720,206,105,4,us-east-1,prod,184.2
t3.large,6,720,reserved,1975,1,60,27,db.t3.micro,720,25,122,12,eu-west-1,prod,276.8
c5.large,5,720,on_demand,1419,3,157,43,db.m5.large,720,257,76,7,us-east-1,dev,469.59
m5.large,2,720,reserved,2491,5,15,53,db.t3.medium,720,141,23,33,us-west-2,stage,174.77
c5.xlarge,3,360,reserved,2102,3,117,97,db.t3.micro,720,165,103,23,us-west-2,dev,175.25
c5.large,6,720,reserved,1297,3,16,43,db.t3.medium,720,115,138,36,eu-west-1,dev,328.49
t3.micro,3,360,reserved,1339,3,50,32,db.m5.large,720,233,88,45,us-west-2,stage,187.01
t3.large,6,720,spot,1197,1,127,51,db.t3.micro,720,292,32,50,us-west-2,prod,197.9
c5.large,5,720,spot,2270,1,110,26,db.t3.medium,720,166,28,2,us-west-2,dev,190.64
t3.large,3,360,on_demand,315,5,65,66,db.t3.medium,720,202,44,5,us-west-2,dev,154.23
t3.large,3,720,reserved,1148,4,33,76,db.m5.large,720,245,103,6,eu-west-1,prod,281.42
c5.large,4,360,spot,2112,2,164,11,db.m5.large,720,204,49,7,eu-west-1,dev,210.54
c5.xlarge,4,720,on_demand,2380,3,34,70,db.m5.large,720,78,42,45,us-west-2,dev,673.8
t3.large,1,360,spot,1557,5,81,98,db.m5.large,720,143,165,31,us-east-1,stage,200.02
m5.large,6,360,spot,627,1,198,32,db.t3.medium,720,109,111,29,us-west-2,stage,166.56
t3.medium,2,720,spot,639,4,179,58,db.t3.medium,720,185,99,13,us-east-1,stage,100.72
m5.xlarge,2,720,reserved,1984,3,115,41,db.t3.medium,720,209,84,39,eu-west-1,dev,271.68
t3.large,6,720,reserved,1610,1,67,52,db.t3.micro,720,93,128,37,us-west-2,prod,290.68
c5.xlarge,1,720,spot,535,5,60,77,db.t3.micro,720,70,13,9,us-east-1,prod,78.63
t3.small,5,720,reserved,1892,3,65,87,db.t3.medium,720,29,178,47,us-west-2,stage,156.09
c5.xlarge,3,360,on_demand,2019,2,128,23,db.t3.micro,720,166,165,19,eu-west-1,prod,235.53
t3.small,2,360,reserved,255,5,152,32,db.t3.micro,720,47,123,11,eu-west-1,dev,46.52
c5.large,1,360,on_demand,328,3,83,22,db.m5.large,720,59,125,8,us-west-2,prod,189.84
m5.xlarge,4,360,spot,1053,5,83,70,db.t3.micro,720,128,143,42,us-west-2,dev,170.88
m5.xlarge,5,720,on_demand,2318,4,28,52,db.t3.micro,720,28,93,5,us-east-1,prod,731.74
t3.medium,4,720,spot,1012,5,186,59,db.m5.large,720,176,125,1,us-west-2,stage,213.15
c5.large,4,360,on_demand,895,2,31,97,db.t3.micro,720,55,38,50,eu-west-1,dev,177.95
t3.small,6,720,on_demand,2209,4,63,70,db.t3.medium,720,80,77,11,us-east-1,stage,170.02
m5.large,5,360,on_demand,1421,2,182,9,db.t3.micro,720,151,68,34,eu-west-1,prod,220.35
c5.large,1,360,spot,2331,1,171,47,db.t3.micro,720,160,49,14,us-west-2,prod,56.18
t3.micro,1,360,reserved,2422,3,42,57,db.t3.medium,720,299,182,50,eu-west-1,stage,110.83
c5.large,2,720,spot,271,1,194,62,db.m5.large,720,199,65,39,us-west-2,prod,224.57
c5.large,6,720,reserved,1277,5,131,44,db.t3.medium,720,149,61,26,us-west-2,stage,319.21
m5.xlarge,4,360,reserved,2234,4,176,76,db.t3.medium,720,172,156,28,us-east-1,stage,278.81
t3.micro,1,360,on_demand,1022,3,74,26,db.t3.micro,720,53,44,8,us-west-2,stage,33.36
c5.xlarge,5,720,reserved,1864,3,114,24,db.t3.medium,720,221,28,13,us-east-1,prod,469.4
t3.small,1,360,reserved,804,1,153,5,db.t3.micro,720,195,159,38,eu-west-1,dev,58.46
t3.medium,6,360,on_demand,402,3,181,93,db.t3.medium,720,103,200,28,eu-west-1,dev,185.57
m5.large,3,720,spot,2068,5,118,52,db.t3.micro,720,82,81,39,us-west-2,dev,140.23
t3.small,1,360,on_demand,573,2,23,10,db.m5.large,720,256,86,17,eu-west-1,dev,166.36
t3.micro,3,360,on_demand,1802,2,20,44,db.t3.medium,720,217,184,25,us-east-1,prod,102.4
m5.large,3,360,on_demand,2199,5,175,88,db.t3.medium,720,120,53,19,us-west-2,stage,190.01
c5.large,3,720,spot,1136,5,163,43,db.t3.medium,720,271,70,38,us-east-1,dev,160.71
t3.large,1,360,on_demand,1120,4,76,28,db.t3.micro,720,186,115,16,us-west-2,stage,70.69
t3.micro,3,720,spot,2413,3,48,88,db.m5.large,720,268,194,13,eu-west-1,prod,193.15
t3.micro,3,360,reserved,2223,4,154,34,db.t3.medium,720,258,16,30,us-west-2,dev,90.04
m5.xlarge,4,360,reserved,653,2,55,30,db.t3.micro,720,92,117,3,eu-west-1,prod,211.51
c5.large,1,720,spot,2492,5,114,44,db.t3.micro,720,210,197,50,us-east-1,prod,98.93
t3.large,1,360,spot,1494,1,136,92,db.t3.micro,720,135,120,36,us-west-2,stage,72.82
t3.medium,1,360,spot,430,3,19,73,db.m5.large,720,102,129,4,us-east-1,prod,167.73
m5.large,3,720,on_demand,1064,2,86,9,db.m5.large,720,25,196,21,us-west-2,prod,381.94
c5.xlarge,4,720,spot,1296,1,132,89,db.t3.medium,720,164,92,31,eu-west-1,prod,286.28
c5.large,5,720,spot,825,2,90,22,db.m5.large,720,170,132,48,us-east-1,stage,304.92
c5.xlarge,1,360,spot,1344,2,172,40,db.t3.medium,720,28,157,50,us-west-2,prod,126.53
t3.micro,6,720,reserved,838,5,94,61,db.m5.large,720,160,29,6,eu-west-1,dev,185.51
t3.medium,4,720,spot,657,3,181,49,db.t3.medium,720,52,52,8,eu-west-1,stage,117.19
m5.xlarge,5,360,reserved,873,2,136,15,db.m5.large,720,105,19,26,eu-west-1,prod,386.58
t3.large,4,360,spot,294,5,95,94,db.m5.large,720,157,31,23,eu-west-1,dev,213.51
t3.large,5,720,spot,1968,5,77,67,db.t3.medium,720,132,149,48,eu-west-1,stage,223.77
m5.large,6,720,on_demand,1287,5,99,74,db.t3.micro,720,147,169,32,eu-west-1,prod,474.28
t3.micro,1,360,spot,582,1,160,54,db.t3.medium,720,34,101,14,eu-west-1,dev,77.82
c5.large,1,720,on_demand,1133,2,144,93,db.t3.medium,720,296,159,15,us-west-2,prod,149.53
m5.large,4,720,on_demand,2271,4,106,82,db.t3.micro,720,126,49,29,us-east-1,stage,329.62
t3.small,5,720,reserved,835,5,11,52,db.m5.large,720,184,115,2,eu-west-1,stage,207.89
c5.large,5,720,reserved,530,2,26,34,db.m5.large,720,210,103,18,eu-west-1,prod,362.06
c5.large,6,360,on_demand,2235,4,16,35,db.t3.micro,720,133,50,12,eu-west-1,stage,221.38
t3.micro,3,720,spot,929,3,90,94,db.t3.medium,720,262,88,46,us-west-2,prod,104.26
c5.xlarge,2,720,on_demand,2429,5,104,15,db.t3.medium,720,256,74,22,us-east-1,prod,326.74
m5.xlarge,3,360,spot,2420,1,91,71,db.m5.large,720,118,178,48,us-west-2,dev,282.5
t3.medium,2,360,on_demand,1534,1,116,89,db.t3.micro,720,290,121,34,us-east-1,prod,89.32
m5.large,6,720,on_demand,1538,5,71,87,db.t3.medium,720,83,41,6,us-east-1,prod,487.67
m5.large,3,360,reserved,2206,3,58,24,db.t3.micro,720,72,82,10,eu-west-1,stage,106.78
t3.small,2,720,reserved,1991,2,84,85,db.t3.micro,720,229,53,17,us-west-2,prod,65.37
t3.medium,4,720,on_demand,2186,1,24,14,db.t3.medium,720,285,152,3,us-east-1,dev,196.11
t3.large,2,720,on_demand,1849,3,28,79,db.m5.large,720,179,184,18,eu-west-1,prod,301.4
c5.large,1,720,spot,2477,4,168,78,db.t3.medium,720,167,76,11,eu-west-1,dev,109.11
m5.xlarge,5,720,on_demand,255,4,125,82,db.t3.medium,720,239,103,21,eu-west-1,dev,771.56
t3.medium,2,360,on_demand,2184,1,163,65,db.t3.medium,720,150,120,6,eu-west-1,prod,113.16
t3.large,2,360,spot,1103,1,33,22,db.t3.medium,720,152,146,22,us-west-2,stage,104.82
m5.large,4,360,on_demand,1518,1,197,52,db.t3.medium,720,233,50,28,us-west-2,dev,222.3
t3.micro,1,720,reserved,1821,3,108,83,db.t3.micro,720,194,103,38,eu-west-1,dev,65.27
m5.xlarge,2,360,reserved,2299,3,178,78,db.t3.micro,720,96,94,21,eu-west-1,prod,144.44
t3.micro,1,720,spot,2144,2,44,36,db.t3.micro,720,143,192,3,us-west-2,prod,49.35
t3.medium,3,360,spot,1215,3,196,89,db.m5.large,720,91,127,32,eu-west-1,prod,203.12
c5.xlarge,4,720,on_demand,526,4,12,68,db.t3.medium,720,220,63,16,us-west-2,stage,561.22
t3.medium,4,720,spot,1748,4,76,12,db.t3.medium,720,108,74,30,us-east-1,prod,129.51
m5.large,2,360,reserved,929,3,127,18,db.t3.medium,720,41,10,17,eu-west-1,stage,111.93
t3.large,4,360,reserved,428,3,141,50,db.m5.large,720,46,193,49,us-west-2,stage,268.37
t3.large,2,720,reserved,1740,1,78,97,db.t3.micro,720,163,150,3,us-west-2,prod,125.31
t3.medium,4,360,reserved,1662,5,131,75,db.m5.large,720,237,101,43,us-east-1,stage,226.59
m5.xlarge,1,720,reserved,546,5,115,47,db.t3.medium,720,180,82,2,us-east-1,dev,156.55
t3.micro,1,720,on_demand,1257,1,81,100,db.m5.large,720,125,193,21,us-east-1,dev,191.75
t3.micro,6,720,reserved,308,4,110,92,db.m5.large,720,75,30,47,eu-west-1,dev,206.91
t3.micro,4,360,on_demand,2416,5,149,77,db.m5.large,720,292,135,49,us-west-2,dev,213.07
c5.xlarge,6,360,reserved,592,1,153,69,db.t3.medium,720,274,143,13,us-west-2,stage,319.67
t3.medium,1,360,spot,862,2,195,81,db.t3.medium,720,274,85,25,eu-west-1,dev,91.28
c5.large,2,720,on_demand,2140,4,171,13,db.t3.micro,720,235,67,9,us-east-1,dev,161.1
m5.xlarge,4,360,spot,1136,3,44,6,db.t3.micro,720,39,52,17,eu-west-1,dev,143.3
t3.micro,1,360,spot,1628,4,62,53,db.m5.large,720,171,94,15,us-east-1,prod,170.56
c5.large,1,720,on_demand,2449,2,184,64,db.t3.micro,720,89,98,41,eu-west-1,prod,125.64
c5.xlarge,1,360,on_demand,2210,5,85,54,db.t3.medium,720,186,126,19,eu-west-1,stage,148.69
t3.small,6,360,reserved,2345,4,68,94,db.t3.medium,720,270,130,9,us-east-1,dev,116.33
t3.large,3,360,on_demand,1565,4,136,79,db.t3.medium,720,121,144,45,us-east-1,dev,192.41
c5.xlarge,2,720,reserved,1127,3,101,76,db.t3.medium,720,202,13,36,eu-west-1,stage,242.09
c5.xlarge,3,720,spot,211,5,187,67,db.t3.micro,720,175,19,39,us-west-2,stage,192.39
m5.xlarge,3,720,on_demand,883,4,82,26,db.t3.micro,720,73,41,43,eu-west-1,stage,461.05
c5.xlarge,1,720,on_demand,533,3,57,89,db.t3.medium,720,249,20,10,us-east-1,stage,190.32
m5.large,2,360,reserved,2276,4,178,49,db.t3.micro,720,202,7,27,us-west-2,stage,91.67
m5.large,2,720,reserved,875,3,177,92,db.t3.medium,720,179,138,43,us-east-1,prod,189.66
c5.xlarge,6,360,reserved,2168,4,143,79,db.m5.large,720,75,79,7,us-west-2,stage,409.56
t3.medium,1,360,spot,651,5,105,21,db.m5.large,720,133,26,20,us-east-1,dev,164.34
t3.large,4,360,on_demand,1674,3,131,83,db.m5.large,720,82,13,45,eu-west-1,stage,301.4
t3.micro,6,720,spot,681,1,143,91,db.t3.medium,720,168,40,33,us-west-2,prod,102.11
m5.xlarge,2,360,reserved,619,3,149,69,db.m5.large,720,181,55,12,us-east-1,dev,252.47
t3.small,1,360,reserved,2262,3,56,20,db.t3.medium,720,125,59,24,eu-west-1,prod,85.02
t3.large,5,360,on_demand,2105,3,50,64,db.m5.large,720,157,129,30,us-east-1,dev,332.68
m5.xlarge,2,720,spot,1500,2,75,20,db.t3.medium,720,62,174,22,us-west-2,prod,196.72
t3.medium,3,360,spot,1289,1,21,60,db.t3.medium,720,85,133,33,us-east-1,dev,107.61
t3.medium,6,360,spot,794,3,148,17,db.t3.medium,720,33,42,1,us-east-1,stage,97.54
t3.large,4,360,reserved,243,3,81,62,db.t3.medium,720,238,39,39,us-west-2,prod,158.4
t3.large,1,360,on_demand,1138,3,114,99,db.t3.medium,720,65,44,39,us-east-1,prod,119.86
m5.large,3,360,spot,349,2,46,64,db.t3.medium,720,174,44,39,us-east-1,stage,122.38
c5.xlarge,4,360,on_demand,625,3,170,84,db.t3.micro,720,254,143,33,us-west-2,stage,301.85
m5.xlarge,5,360,on_demand,1096,3,136,28,db.t3.medium,720,47,109,21,us-west-2,stage,425.56
t3.micro,1,720,spot,921,3,75,43,db.m5.large,720,208,75,11,us-west-2,dev,164.12
m5.xlarge,5,360,on_demand,772,2,190,50,db.m5.large,720,54,94,16,eu-west-1,prod,513.53
t3.medium,1,360,on_demand,1248,2,34,7,db.t3.medium,720,212,143,20,us-east-1,prod,93.81
t3.small,1,720,spot,398,3,61,6,db.m5.large,720,266,58,42,us-west-2,dev,174.44
t3.medium,4,360,spot,547,4,122,94,db.m5.large,720,175,30,47,us-east-1,prod,203.34
t3.micro,5,360,reserved,2320,2,161,47,db.m5.large,720,102,193,24,us-west-2,prod,199.78
c5.xlarge,6,360,on_demand,1780,2,104,12,db.t3.micro,720,168,82,12,us-west-2,dev,405.31
m5.large,6,360,spot,278,5,111,12,db.t3.micro,720,241,101,48,us-east-1,stage,133.42
t3.small,6,720,reserved,608,2,23,58,db.m5.large,720,263,10,13,us-east-1,stage,213.42
t3.medium,6,360,reserved,1440,3,163,88,db.t3.medium,720,210,122,35,eu-west-1,prod,154.88
t3.small,5,720,reserved,2044,1,44,93,db.t3.medium,720,137,129,26,eu-west-1,stage,142.05
c5.xlarge,3,720,reserved,568,2,26,100,db.m5.large,720,100,12,17,us-east-1,stage,399.94
t3.large,4,360,on_demand,1971,5,105,20,db.m5.large,720,135,114,32,us-west-2,stage,298.58
t3.micro,3,720,spot,1309,4,184,58,db.m5.large,720,68,62,9,us-east-1,dev,173.88
m5.xlarge,3,360,reserved,1838,4,187,38,db.t3.micro,720,140,99,44,us-east-1,prod,195.23
c5.large,3,720,reserved,1266,4,56,40,db.m5.large,720,187,185,41,eu-west-1,prod,306.35
c5.large,6,720,on_demand,1324,4,107,5,db.t3.medium,720,28,200,19,us-west-2,prod,452.52
t3.small,3,720,reserved,879,1,65,71,db.m5.large,720,35,60,28,us-east-1,prod,199.83
t3.medium,5,360,on_demand,2489,3,139,70,db.t3.medium,720,39,101,14,us-east-1,dev,161.85
c5.large,2,720,spot,696,5,61,13,db.m5.large,720,221,121,43,eu-west-1,dev,225.77
t3.large,6,720,on_demand,1351,1,95,12,db.t3.micro,720,60,170,2,us-east-1,prod,398.1
m5.large,1,360,spot,1029,1,40,20,db.m5.large,720,160,83,7,eu-west-1,prod,171.1
t3.medium,5,720,reserved,327,2,66,74,db.t3.micro,720,249,129,6,us-west-2,prod,134.75
m5.large,5,720,on_demand,1249,5,181,77,db.m5.large,720,192,149,34,us-west-2,prod,532.36
t3.large,1,720,reserved,374,2,84,48,db.t3.micro,720,237,127,19,eu-west-1,dev,80.71
t3.micro,3,360,on_demand,1754,5,49,46,db.t3.medium,720,275,161,39,us-west-2,dev,107.96
t3.large,4,720,spot,2135,5,128,37,db.t3.micro,720,121,149,24,eu-west-1,dev,150.82
m5.large,3,360,on_demand,1374,1,66,84,db.t3.micro,720,88,169,49,us-east-1,prod,172.42
t3.micro,3,360,reserved,555,3,183,87,db.t3.micro,720,82,35,37,eu-west-1,prod,56.87
m5.xlarge,6,720,spot,730,5,43,85,db.m5.large,720,154,18,9,eu-west-1,prod,489.28
t3.medium,1,360,spot,1922,5,190,26,db.t3.medium,720,245,116,31,eu-west-1,prod,96.75
c5.xlarge,6,360,on_demand,1070,3,63,100,db.m5.large,720,143,134,28,us-east-1,prod,548.3
t3.large,2,360,spot,1816,2,72,50,db.m5.large,720,153,158,43,us-east-1,stage,213.66
t3.medium,2,720,spot,1563,5,47,88,db.m5.large,720,93,22,8,eu-west-1,dev,185.88
m5.large,6,360,spot,343,5,92,25,db.t3.micro,720,164,57,20,us-east-1,stage,116.65
t3.micro,1,360,spot,514,5,40,18,db.m5.large,720,135,189,49,eu-west-1,dev,186.54
m5.xlarge,3,360,spot,1518,1,50,33,db.t3.medium,720,271,27,50,us-east-1,prod,170.65
c5.xlarge,5,720,reserved,2151,3,124,15,db.t3.micro,720,71,149,31,us-east-1,prod,454.06
t3.small,4,360,on_demand,1783,4,174,9,db.t3.medium,720,279,194,15,us-east-1,prod,116.97
t3.micro,5,720,on_demand,1495,2,89,70,db.t3.micro,720,33,172,39,us-west-2,dev,101.18
c5.large,4,360,reserved,599,1,32,60,db.t3.micro,720,262,168,26,us-east-1,stage,129.65
t3.micro,2,360,reserved,2028,4,49,49,db.t3.micro,720,51,186,43,us-west-2,stage,71.51
m5.large,3,360,reserved,278,4,137,82,db.m5.large,720,273,66,5,us-west-2,stage,226.81
t3.micro,5,720,on_demand,1646,1,18,91,db.t3.medium,720,171,105,7,us-west-2,stage,116.37
t3.medium,4,720,reserved,1344,1,189,21,db.t3.micro,720,283,91,5,eu-west-1,dev,113.97
t3.large,1,720,spot,1499,1,173,97,db.m5.large,720,159,56,12,eu-west-1,prod,194.42
t3.medium,4,360,reserved,251,5,41,99,db.t3.micro,720,24,24,21,eu-west-1,prod,75.94
m5.xlarge,4,720,on_demand,1684,2,129,55,db.m5.large,720,89,187,37,us-east-1,dev,743.42
t3.micro,2,360,spot,2178,1,59,43,db.t3.micro,720,273,152,9,eu-west-1,prod,49.96
t3.large,1,720,reserved,766,2,163,63,db.m5.large,720,197,38,13,eu-west-1,dev,200.98
c5.xlarge,2,360,on_demand,1654,4,55,16,db.t3.medium,720,219,26,28,us-east-1,dev,198.12
m5.large,3,720,on_demand,239,3,35,96,db.t3.medium,720,146,90,5,us-east-1,stage,277.8
c5.large,5,720,reserved,350,1,133,100,db.t3.micro,720,151,114,25,us-east-1,prod,248.71
c5.large,4,360,on_demand,2444,1,53,22,db.m5.large,720,47,82,49,us-east-1,dev,308.16
m5.large,2,720,on_demand,2303,4,41,94,db.t3.micro,720,236,143,35,eu-west-1,prod,202.71
t3.micro,5,360,spot,1077,4,180,67,db.t3.medium,720,148,167,44,us-east-1,dev,108.98
m5.large,2,360,spot,1005,1,104,46,db.t3.medium,720,291,119,28,eu-west-1,dev,112.61
t3.large,6,720,reserved,1703,3,115,59,db.t3.micro,720,241,118,6,us-west-2,prod,276.55
t3.medium,5,360,spot,1607,4,78,99,db.m5.large,720,213,124,1,us-east-1,prod,199.58
t3.large,5,360,on_demand,2183,5,52,11,db.t3.medium,720,160,47,32,us-west-2,prod,231.44
c5.xlarge,1,720,reserved,2398,1,97,61,db.t3.micro,720,136,168,33,us-east-1,dev,143.74
c5.xlarge,4,720,spot,723,3,111,39,db.m5.large,720,48,117,36,us-west-2,dev,372.68
m5.xlarge,5,720,on_demand,1683,5,57,36,db.t3.medium,720,165,149,27,eu-west-1,stage,779.68
c5.large,5,360,on_demand,1973,3,70,74,db.t3.micro,720,296,50,47,us-west-2,dev,212.12
t3.medium,5,360,spot,1141,2,85,67,db.t3.medium,720,294,173,32,us-east-1,dev,124.12
c5.large,6,360,on_demand,878,5,37,96,db.m5.large,720,101,187,22,us-west-2,prod,364.51
m5.xlarge,3,720,on_demand,2304,4,132,23,db.m5.large,720,186,24,29,us-east-1,dev,586.48
t3.micro,4,720,on_demand,945,4,155,76,db.t3.medium,720,81,36,12,us-west-2,prod,103.32
t3.medium,6,720,reserved,955,2,56,83,db.t3.micro,720,147,87,33,us-west-2,stage,167.75
t3.micro,2,360,reserved,1989,2,48,40,db.t3.micro,720,157,40,45,eu-west-1,stage,58.26
t3.micro,1,720,spot,1032,5,77,32,db.t3.micro,720,171,160,2,us-east-1,dev,40.77
m5.xlarge,1,360,reserved,894,4,197,59,db.t3.micro,720,97,143,42,us-east-1,stage,105.94
t3.medium,4,360,on_demand,1136,2,169,82,db.m5.large,720,250,91,27,eu-west-1,prod,237.6
t3.large,4,360,spot,956,4,145,19,db.m5.large,720,254,185,49,us-west-2,prod,237.33
m5.large,2,360,reserved,2104,5,124,77,db.t3.micro,720,207,178,25,us-west-2,stage,106.76
t3.medium,3,360,reserved,2136,3,54,78,db.t3.micro,720,284,44,41,us-west-2,dev,85.63
m5.large,1,360,reserved,1628,3,158,70,db.t3.medium,720,120,27,7,us-east-1,dev,95.41
t3.small,2,720,spot,2164,3,13,75,db.t3.micro,720,184,14,26,us-east-1,prod,57.1
m5.large,2,360,reserved,1786,2,140,35,db.t3.micro,720,295,58,4,eu-west-1,stage,80.04
c5.xlarge,6,360,on_demand,1859,1,31,33,db.m5.large,720,280,158,4,eu-west-1,stage,534.97
t3.small,2,720,reserved,204,1,167,52,db.m5.large,720,70,155,5,eu-west-1,dev,184.22
t3.large,2,720,on_demand,2010,5,85,76,db.m5.large,720,243,120,19,eu-west-1,dev,297.95
m5.xlarge,2,720,spot,1580,1,66,22,db.t3.micro,720,264,87,42,us-west-2,stage,163.28
t3.medium,6,720,reserved,890,4,28,85,db.t3.micro,720,52,28,38,us-east-1,stage,164.17
t3.micro,1,360,reserved,2052,2,124,31,db.t3.medium,720,90,122,13,eu-west-1,prod,84.37
c5.large,1,720,reserved,656,3,10,35,db.t3.medium,720,97,164,47,us-east-1,stage,133.29
t3.small,1,720,on_demand,1904,4,129,33,db.t3.medium,720,220,151,22,us-west-2,stage,103.59
t3.micro,6,360,spot,1610,2,153,16,db.t3.micro,720,261,191,3,us-west-2,stage,53.08
c5.xlarge,1,720,on_demand,1389,5,170,17,db.m5.large,720,179,198,41,us-west-2,dev,311.51
m5.large,6,720,spot,1865,2,128,69,db.m5.large,720,125,198,14,eu-west-1,dev,348.12
t3.micro,1,360,on_demand,959,1,68,24,db.m5.large,720,248,61,46,eu-west-1,prod,179.23
t3.medium,2,720,on_demand,477,3,56,82,db.t3.micro,720,300,155,45,us-west-2,stage,120.47
c5.xlarge,1,720,reserved,2490,1,23,97,db.m5.large,720,168,104,12,eu-west-1,dev,255.84
t3.micro,5,360,on_demand,1890,5,113,38,db.t3.medium,720,22,16,5,us-east-1,prod,86.75
c5.large,3,360,spot,695,2,199,39,db.t3.micro,720,231,15,10,us-west-2,stage,67.26
m5.xlarge,3,360,spot,1950,4,194,12,db.m5.large,720,121,74,1,us-west-2,stage,243.76
c5.large,5,720,reserved,2407,5,91,36,db.m5.large,720,258,95,5,us-east-1,stage,365.92
c5.xlarge,2,360,spot,714,4,146,59,db.t3.micro,720,58,64,9,eu-west-1,prod,84.29
c5.large,6,720,reserved,1254,1,110,19,db.t3.medium,720,179,35,16,us-west-2,prod,308.77
c5.large,5,720,on_demand,2199,3,104,91,db.m5.large,720,47,92,44,us-west-2,dev,497.01
t3.micro,6,720,on_demand,1277,5,80,51,db.m5.large,720,234,63,41,us-east-1,stage,222.66
t3.large,5,360,spot,1110,5,135,83,db.t3.medium,720,100,138,48,us-west-2,dev,161.52
t3.large,4,360,on_demand,2326,1,43,27,db.t3.micro,720,140,12,5,eu-west-1,stage,150.95
t3.large,3,720,on_demand,897,1,147,65,db.t3.micro,720,29,87,29,eu-west-1,stage,228.65
t3.small,5,720,on_demand,388,2,100,16,db.m5.large,720,161,122,29,us-east-1,prod,244.44
t3.medium,3,720,spot,1732,1,138,90,db.m5.large,720,252,123,45,us-west-2,prod,228.59
t3.medium,1,360,spot,1082,3,135,68,db.t3.micro,720,204,91,10,us-west-2,prod,46.74
t3.small,3,720,spot,1606,5,194,44,db.t3.micro,720,129,113,16,us-east-1,stage,65.27
t3.medium,4,360,on_demand,2102,2,41,64,db.t3.medium,720,93,182,10,us-west-2,dev,147.38
t3.medium,2,360,on_demand,1844,3,13,31,db.t3.medium,720,251,33,3,eu-west-1,dev,95.28
t3.large,6,720,spot,1668,4,84,100,db.t3.medium,720,255,27,4,us-west-2,stage,216.71
t3.small,4,360,on_demand,1319,3,80,57,db.m5.large,720,188,142,27,us-west-2,dev,208.61
c5.large,5,360,on_demand,696,5,29,80,db.m5.large,720,237,193,28,us-west-2,dev,334.76
t3.large,1,720,spot,1972,5,183,42,db.t3.micro,720,261,119,18,us-west-2,dev,74.18
c5.xlarge,5,720,spot,1373,5,54,16,db.t3.medium,720,24,33,4,us-east-1,dev,307.72
c5.xlarge,6,360,reserved,1810,2,160,80,db.t3.medium,720,56,74,34,eu-west-1,prod,331.31
t3.large,1,720,spot,1122,5,160,72,db.m5.large,720,155,69,43,eu-west-1,dev,206.4
t3.micro,1,360,on_demand,218,4,53,32,db.t3.medium,720,90,116,36,us-west-2,stage,85.93
m5.xlarge,1,360,reserved,2006,1,10,43,db.t3.micro,720,230,117,12,us-east-1,stage,88.26
c5.large,6,360,reserved,707,4,41,97,db.t3.medium,720,111,63,8,us-east-1,dev,191.43
